feature_set,features,validation_rmse,validation_mae,validation_r2,test_rmse_nn,test_mae_nn,test_r2_nn,architecture,learning_rate,epochs,validation_size,test_rmse_linear,test_mae_linear,test_r2_linear,rmse_verschil_nn_min_linear
alle_features_zonder_id,"Garage, Overall Qual, Gr Liv Area, Total Bsmt SF, Lot Area, Year Built, Full Bath, Bedroom AbvGr, Neighborhood, House Style",23230.78110121959,16414.109945359887,0.8788279950818554,27923.837427229504,18149.066787265932,0.9027457392981173,3x128_64_32,0.01,300,0.15,35872.98969432829,21636.975692032363,0.8394931466953286,-7949.152267098783
sterke_subset,"Overall Qual, Gr Liv Area, Total Bsmt SF, Year Built, Full Bath, Neighborhood",23479.319123650323,16755.821451711687,0.8864752763671118,27825.561883947546,18009.751288358573,0.9034290906858686,1x32,0.0003,300,0.2,36692.016969116135,22607.454531112482,0.8320803167172989,-8866.455085168589
numeriek_alles,"Overall Qual, Gr Liv Area, Total Bsmt SF, Lot Area, Year Built, Full Bath, Bedroom AbvGr",23676.78454883922,17412.2025705079,0.8741306141601888,32707.207332382386,18516.19940084612,0.8665724956430254,1x32,0.01,300,0.15,39900.21840603999,24974.234988056938,0.8014321283054131,-7193.0110736576025
lr_uitgebreid,"Overall Qual, Gr Liv Area, Total Bsmt SF, Year Built, Neighborhood",24040.50515637755,17165.587495957203,0.880983648054145,28654.30704910026,18719.144122956764,0.8975909692664408,1x64,0.001,800,0.2,36698.12985481174,22531.992645807262,0.8320243612577763,-8043.822805711479
lr_met_housestyle,"Overall Qual, Gr Liv Area, Neighborhood, House Style",24410.582570240993,17675.21760821225,0.8772911900215462,28295.756797541537,19041.306741856224,0.9001378152465915,1x32,0.001,800,0.2,37035.851675087026,23152.175937256092,0.8289184771803734,-8740.094877545489
lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",26685.076386904348,18647.00638932657,0.8401135833356199,30631.96246372768,20806.87649298257,0.8829670701734136,1x64,0.0003,300,0.15,39052.45038910903,24736.735367658475,0.8097805096350514,-8420.487925381349
