model_type,feature_set,features,n_features_before_encoding,validation_size,architecture,hidden_layers,hidden_nodes,learning_rate,epochs,train_rows,validation_rows,test_rows,train_seconds,validation_r2,validation_mae,validation_rmse,test_r2,test_mae,test_rmse
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x64_32,2,"(64, 32)",0.001,800,1992,352,586,0.4637280409951927,0.815334526281783,19929.690949644977,28678.439620154855,0.8686524223717279,21609.28410629272,32451.27885374164
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x64_32,2,"(64, 32)",0.0003,300,1992,352,586,1.3028485830000136,0.8140741835150913,19864.745007615107,28776.13845062223,0.8748491932810333,21511.260779570548,31676.53060960257
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x64_32,2,"(64, 32)",0.0003,800,1992,352,586,1.3018771250062855,0.8140741835150913,19864.745007615107,28776.13845062223,0.8748491932810333,21511.260779570548,31676.53060960257
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x128_64,2,"(128, 64)",0.01,300,1992,352,586,0.6334827499958919,0.803197926573464,20900.91098078625,29605.84768697528,0.8535844524439128,22722.661064849828,34262.131725288695
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x128_64,2,"(128, 64)",0.01,800,1992,352,586,0.6539842919883085,0.803197926573464,20900.91098078625,29605.84768697528,0.8535844524439128,22722.661064849828,34262.131725288695
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x128_64,2,"(128, 64)",0.001,300,1992,352,586,0.9722394999989774,0.8030183587114172,20421.009115374964,29619.351220136377,0.8649613481178717,21678.490655750767,32904.085825169655
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x128_64,2,"(128, 64)",0.001,800,1992,352,586,0.9505103749979753,0.8030183587114172,20421.009115374964,29619.351220136377,0.8649613481178717,21678.490655750767,32904.085825169655
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x128_64,2,"(128, 64)",0.0003,300,1992,352,586,1.3364145419909619,0.8155811838586117,19912.43692220582,28659.280331840626,0.8738494504729859,21510.775791267766,31802.799834970327
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,2x128_64,2,"(128, 64)",0.0003,800,1992,352,586,1.3361679579975316,0.8155811838586117,19912.43692220582,28659.280331840626,0.8738494504729859,21510.775791267766,31802.799834970327
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,3x128_64_32,3,"(128, 64, 32)",0.01,300,1992,352,586,0.28525762500066776,0.8068469546439648,20242.387518925334,29330.093374502096,0.8643661621694196,22419.055128778957,32976.5188559928
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,3x128_64_32,3,"(128, 64, 32)",0.01,800,1992,352,586,0.28554816701216623,0.8068469546439648,20242.387518925334,29330.093374502096,0.8643661621694196,22419.055128778957,32976.5188559928
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,3x128_64_32,3,"(128, 64, 32)",0.001,300,1992,352,586,0.820635416006553,0.8043774516924214,20628.320570558033,29516.993636932675,0.8694743880108023,21702.96809854396,32349.580373390636
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,3x128_64_32,3,"(128, 64, 32)",0.001,800,1992,352,586,0.8191661250020843,0.8043774516924214,20628.320570558033,29516.993636932675,0.8694743880108023,21702.96809854396,32349.580373390636
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,3x128_64_32,3,"(128, 64, 32)",0.0003,300,1992,352,586,1.955638416999136,0.7890019561459307,20721.277708767422,30655.039507034053,0.868399618974605,21677.89614493663,32482.49317088866
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.15,3x128_64_32,3,"(128, 64, 32)",0.0003,800,1992,352,586,1.923742291997769,0.7890019561459307,20721.277708767422,30655.039507034053,0.868399618974605,21677.89614493663,32482.49317088866
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x32,1,"(32,)",0.01,300,1875,469,586,0.2466368750028778,0.8429271050147801,19301.554853716116,27617.915474820278,0.8707793293626871,21493.264189893143,32187.465269864002
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x32,1,"(32,)",0.01,800,1875,469,586,0.24773962498875335,0.8429271050147801,19301.554853716116,27617.915474820278,0.8707793293626871,21493.264189893143,32187.465269864002
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x32,1,"(32,)",0.001,300,1875,469,586,0.5367068749910686,0.848358198002194,19016.57483025399,27136.244292727595,0.8807189535904324,20926.301510452904,30924.77173460689
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x32,1,"(32,)",0.001,800,1875,469,586,0.5387990000017453,0.848358198002194,19016.57483025399,27136.244292727595,0.8807189535904324,20926.301510452904,30924.77173460689
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x32,1,"(32,)",0.0003,300,1875,469,586,0.9138142079900717,0.8489572985991951,18938.57063840493,27082.58682836782,0.8806410776001603,21046.429727484727,30934.865141490674
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x32,1,"(32,)",0.0003,800,1875,469,586,0.9004147500090767,0.8492896192133197,18903.77065394033,27052.777186093972,0.8803873728052732,21051.49958041838,30967.72467708151
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x64,1,"(64,)",0.01,300,1875,469,586,0.2661147920007352,0.8379049618999879,19472.928818380893,28055.959917999142,0.8583707293632814,22032.246774758278,33697.46972325071
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x64,1,"(64,)",0.01,800,1875,469,586,0.26630858299904503,0.8379049618999879,19472.928818380893,28055.959917999142,0.8583707293632814,22032.246774758278,33697.46972325071
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x64,1,"(64,)",0.001,300,1875,469,586,0.6571325410041027,0.8430476919929755,19428.749398243413,27607.31211639965,0.8823317803167583,21266.26232908928,30714.989683458694
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x64,1,"(64,)",0.001,800,1875,469,586,0.6461534999980358,0.8430476919929755,19428.749398243413,27607.31211639965,0.8823317803167583,21266.26232908928,30714.989683458694
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x64,1,"(64,)",0.0003,300,1875,469,586,0.7081711249920772,0.8518557214980985,18816.495689317122,26821.47846870305,0.8809213810063368,20940.908205319676,30898.5199536806
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,1x64,1,"(64,)",0.0003,800,1875,469,586,0.7091302500048187,0.8518557214980985,18816.495689317122,26821.47846870305,0.8809213810063368,20940.908205319676,30898.5199536806
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x64_32,2,"(64, 32)",0.01,300,1875,469,586,0.3845285830029752,0.7949744912220652,20939.35359052053,31553.258916029758,0.7699083470016949,25330.476725669712,42950.795759982226
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,2x64_32,2,"(64, 32)",0.01,800,1875,469,586,0.38325041699863505,0.7949744912220652,20939.35359052053,31553.258916029758,0.7699083470016949,25330.476725669712,42950.795759982226
