experiment_id,hidden_layers,hidden_nodes,epochs,learning_rate,batch_size,activation,dropout,train_accuracy_last_epoch,validation_accuracy_last_epoch,test_accuracy,test_precision,test_recall,test_f1,final_train_loss,final_validation_loss
14,2,32,20,0.0005,32,relu,0.0,0.7803704738616943,0.7605769038200378,0.7676923076923077,0.7910614525139665,0.8602673147023087,0.8242142025611175,0.4648233950138092,0.5043027400970459
25,3,64,30,0.001,32,relu,0.1,0.8402694463729858,0.762499988079071,0.7669230769230769,0.778969957081545,0.8821385176184691,0.8273504273504273,0.36072036623954773,0.5212352871894836
8,3,16,20,0.001,32,relu,0.0,0.7789270877838135,0.7586538195610046,0.7661538461538462,0.8056537102473498,0.8311057108140948,0.8181818181818182,0.4641187787055969,0.5126474499702454
26,3,64,30,0.001,32,relu,0.2,0.8236709237098694,0.7711538672447205,0.7653846153846153,0.8197530864197531,0.8068043742405833,0.8132271892222903,0.39128774404525757,0.4966474175453186
4,1,64,20,0.001,32,relu,0.0,0.7772431969642639,0.7596153616905212,0.7653846153846153,0.7916666666666666,0.8541919805589308,0.8217416715371128,0.46831998229026794,0.5054112076759338
24,2,32,20,0.001,32,relu,0.2,0.7803704738616943,0.7461538314819336,0.7615384615384615,0.7972190034762456,0.8359659781287971,0.8161328588374852,0.4626055657863617,0.5064342617988586
13,2,32,50,0.001,32,relu,0.0,0.808515727519989,0.7490384578704834,0.7607692307692308,0.7838137472283814,0.8590522478736331,0.8197101449275362,0.4156104326248169,0.4986204206943512
28,4,64,30,0.001,32,relu,0.1,0.8496512174606323,0.7567307949066162,0.76,0.8438761776581427,0.7618469015795869,0.8007662835249042,0.33881765604019165,0.5342896580696106
29,2,128,30,0.001,32,relu,0.2,0.8258359432220459,0.7740384340286255,0.7576923076923077,0.7742980561555075,0.8712029161603888,0.8198970840480274,0.37929800152778625,0.4975849390029907
2,1,16,20,0.001,32,relu,0.0,0.7681019902229309,0.762499988079071,0.7561538461538462,0.7881548974943052,0.8408262454434994,0.8136390358612581,0.48451128602027893,0.5181818604469299
1,1,8,20,0.001,32,relu,0.0,0.7608852386474609,0.7471153736114502,0.7530769230769231,0.7826576576576577,0.8444714459295262,0.8123904149620105,0.497016042470932,0.5237547755241394
10,3,64,20,0.001,32,relu,0.0,0.836420476436615,0.7682692408561707,0.7523076923076923,0.7628541448058762,0.8833535844471446,0.8186936936936937,0.37455758452415466,0.509048342704773
